FactTableCode,FactTableName,FieldCode,FieldName,ValueSetCode,ValueSetName,ValueCode,ValueName,GroupName
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,133000,"Construction, Distribution and Production Managers nfd",construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,133100,Construction Managers nfd,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,133111,Construction Project Manager,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,133112,Project Builder,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,232000,"Architects, Designers, Planners and Surveyors nfd",construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,232100,Architects and Landscape Architects nfd,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,232111,Architect,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,232112,Landscape Architect,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,232200,Surveyors and Spatial Scientists nfd,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,232212,Surveyor,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,232213,Cartographer,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,232214,Other Spatial Scientist,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,232611,Urban and Regional Planner,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,312000,Building and Engineering Technicians nfd,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,312100,"Architectural, Building and Surveying Technicians nfd",construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,312111,Architectural Draftsperson,construction related occupations
