lvl6_id,lvl6_name,lvl4_id,lvl4_name,lvl3_id,lvl3_name,lvl2_id,lvl2_name,lvl1_id,lvl1_name
111131,Corporate Services Manager,1111,Corporate Services Managers,111,Business Administration Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
111231,Finance Manager,1112,Finance Managers,111,Business Administration Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
111331,Human Resources Manager,1113,Human Resources Managers,111,Business Administration Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
111431,Policy and Planning Manager,1114,Policy and Planning Managers,111,Business Administration Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
111531,Research and Development Manager,1115,Research and Development Managers,111,Business Administration Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
111631,Quality Assurance Manager,1116,Workplace Compliance Managers,111,Business Administration Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
111632,Regulatory Affairs Manager,1116,Workplace Compliance Managers,111,Business Administration Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
111633,Work Health and Safety Manager,1116,Workplace Compliance Managers,111,Business Administration Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
112131,Advertising Manager,1121,Business Promotion Managers,112,Business Promotion and Communications Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
112132,Business Development Manager,1121,Business Promotion Managers,112,Business Promotion and Communications Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
112133,Sales and Marketing Manager,1121,Business Promotion Managers,112,Business Promotion and Communications Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
112231,Communications Manager (Public Relations),1122,Communications Managers (Public Relations),112,Business Promotion and Communications Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
113131,Chief Information Officer,1131,Chief Information and Chief Information Security Officers,113,Chief Information Officers and ICT Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
113132,Chief Information Security Officer,1131,Chief Information and Chief Information Security Officers,113,Chief Information Officers and ICT Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
113231,ICT Operations Manager,1132,ICT Managers,113,Chief Information Officers and ICT Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
113232,ICT Project Manager,1132,ICT Managers,113,Chief Information Officers and ICT Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
113233,ICT Service Delivery Manager,1132,ICT Managers,113,Chief Information Officers and ICT Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
113299,ICT Managers nec,1132,ICT Managers,113,Chief Information Officers and ICT Managers,11,"Business Administration and Promotion, and ICT Managers",1,Managers
121131,Chief Executive or Managing Director,1211,Chief Executives and Managing Directors,121,"Chief Executives, General Managers and Legislators",12,"Chief Executives, General Managers and Legislators",1,Managers
121231,Corporate General Manager,1212,General Managers and Defence Force Senior Officers,121,"Chief Executives, General Managers and Legislators",12,"Chief Executives, General Managers and Legislators",1,Managers
121232,Defence Force Senior Officer,1212,General Managers and Defence Force Senior Officers,121,"Chief Executives, General Managers and Legislators",12,"Chief Executives, General Managers and Legislators",1,Managers
121331,Local Government Legislator,1213,Legislators,121,"Chief Executives, General Managers and Legislators",12,"Chief Executives, General Managers and Legislators",1,Managers
121332,Member of Parliament,1213,Legislators,121,"Chief Executives, General Managers and Legislators",12,"Chief Executives, General Managers and Legislators",1,Managers
121399,Legislators nec,1213,Legislators,121,"Chief Executives, General Managers and Legislators",12,"Chief Executives, General Managers and Legislators",1,Managers
131131,Construction Project Manager,1311,Construction Project Managers,131,Construction and Engineering Managers,13,"Construction, Production and Distribution Managers",1,Managers
131231,Engineering Manager,1312,Engineering Managers,131,Construction and Engineering Managers,13,"Construction, Production and Distribution Managers",1,Managers
131331,Project Builder,1313,Project Builders,131,Construction and Engineering Managers,13,"Construction, Production and Distribution Managers",1,Managers
131431,Property Developer,1314,Property Developers,131,Construction and Engineering Managers,13,"Construction, Production and Distribution Managers",1,Managers
131931,Surveying Manager,1319,Other Construction and Engineering Managers,131,Construction and Engineering Managers,13,"Construction, Production and Distribution Managers",1,Managers
131999,Construction and Engineering Managers nec,1319,Other Construction and Engineering Managers,131,Construction and Engineering Managers,13,"Construction, Production and Distribution Managers",1,Managers
132131,Manufacturer,1321,Manufacturers,132,Manufacturers and Production Managers,13,"Construction, Production and Distribution Managers",1,Managers
132231,Forest Manager,1322,Production Managers,132,Manufacturers and Production Managers,13,"Construction, Production and Distribution Managers",1,Managers
132232,Production Manager (Manufacturing),1322,Production Managers,132,Manufacturers and Production Managers,13,"Construction, Production and Distribution Managers",1,Managers
132233,Production Manager (Mining),1322,Production Managers,132,Manufacturers and Production Managers,13,"Construction, Production and Distribution Managers",1,Managers
133131,Importer or Exporter,1331,"Importers, Exporters and Wholesalers",133,"Wholesaling, Distribution and Procurement Managers",13,"Construction, Production and Distribution Managers",1,Managers
133132,Wholesaler,1331,"Importers, Exporters and Wholesalers",133,"Wholesaling, Distribution and Procurement Managers",13,"Construction, Production and Distribution Managers",1,Managers
133231,Procurement Manager,1332,Procurement Managers,133,"Wholesaling, Distribution and Procurement Managers",13,"Construction, Production and Distribution Managers",1,Managers
133331,Supply and Distribution Manager,1333,Supply and Distribution Managers,133,"Wholesaling, Distribution and Procurement Managers",13,"Construction, Production and Distribution Managers",1,Managers
141131,Assistant School Principal,1411,Assistant School Principals and School Principals,141,"Education, Health and Welfare Service Managers",14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
141132,School Principal,1411,Assistant School Principals and School Principals,141,"Education, Health and Welfare Service Managers",14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
141231,Children's Education and Care Service Director,1412,Children's Education and Care Service Directors,141,"Education, Health and Welfare Service Managers",14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
141331,Aged Care Manager,1413,Health and Welfare Service Managers,141,"Education, Health and Welfare Service Managers",14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
141332,Director of Nursing / Midwifery,1413,Health and Welfare Service Managers,141,"Education, Health and Welfare Service Managers",14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
141333,Medical Administrator,1413,Health and Welfare Service Managers,141,"Education, Health and Welfare Service Managers",14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
141334,Paramedic Manager,1413,Health and Welfare Service Managers,141,"Education, Health and Welfare Service Managers",14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
141335,Welfare Centre Manager,1413,Health and Welfare Service Managers,141,"Education, Health and Welfare Service Managers",14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
141399,Health and Welfare Service Managers nec,1413,Health and Welfare Service Managers,141,"Education, Health and Welfare Service Managers",14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
141431,Faculty Manager,1414,Other Education Managers,141,"Education, Health and Welfare Service Managers",14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
141432,Regional Education Manager,1414,Other Education Managers,141,"Education, Health and Welfare Service Managers",14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
141499,Education Managers nec,1414,Other Education Managers,141,"Education, Health and Welfare Service Managers",14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149131,Arts Administrator or Manager,1491,"Arts, Culture and Sports Administrators",149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149132,Library Services Manager,1491,"Arts, Culture and Sports Administrators",149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149133,Sports Administrator,1491,"Arts, Culture and Sports Administrators",149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149199,"Arts, Culture and Sports Administrators nec",1491,"Arts, Culture and Sports Administrators",149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149231,Commissioned Defence Force Officer,1492,Commissioned Officers (Management),149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149232,Commissioned Fire Officer,1492,Commissioned Officers (Management),149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149233,Commissioned Police Officer,1492,Commissioned Officers (Management),149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149331,Environmental Manager,1493,Scientific and Environmental Managers,149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149332,Exploration Manager,1493,Scientific and Environmental Managers,149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149333,Laboratory Manager,1493,Scientific and Environmental Managers,149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149399,Scientific and Environmental Managers nec,1493,Scientific and Environmental Managers,149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149431,Senior Non-commissioned Defence Force Member,1494,Senior Non-commissioned Defence Force Members,149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149931,Airport Manager,1499,Other Specialist Managers,149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149932,Correctional Facility Manager,1499,Other Specialist Managers,149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149933,Emergency Management Officer,1499,Other Specialist Managers,149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
149999,Specialist Managers nec,1499,Other Specialist Managers,149,Miscellaneous Specialist Managers,14,"Education, Health, Welfare and Other Specialist Managers",1,Managers
151131,Cotton Grower,1511,Broadacre Crop Growers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
151132,"Grain, Oilseed, Pulse or Pasture Grower",1511,Broadacre Crop Growers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
151133,Sugar Cane Grower,1511,Broadacre Crop Growers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
151199,Broadacre Crop Growers nec,1511,Broadacre Crop Growers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
151231,Flower Grower,1512,Horticultural Crop Growers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
151232,Fruit Grower,1512,Horticultural Crop Growers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
151233,Nut Grower,1512,Horticultural Crop Growers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
151234,Production Nursery Grower,1512,Horticultural Crop Growers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
151235,Turf Grower,1512,Horticultural Crop Growers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
151236,Vegetable Grower,1512,Horticultural Crop Growers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
151237,Wine Grape Grower,1512,Horticultural Crop Growers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
151299,Horticultural Crop Growers nec,1512,Horticultural Crop Growers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
151331,Aquaculture Farmer,1513,Mixed Production and Aquaculture Farmers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
151332,Broadacre Crop and Livestock Farmer,1513,Mixed Production and Aquaculture Farmers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
151399,Mixed Production and Aquaculture Farmers nec,1513,Mixed Production and Aquaculture Farmers,151,"Broadacre, Horticultural and Mixed Production Farmers",15,Farmers and Farm Managers,1,Managers
152131,Beef Cattle Farmer,1521,Beef Cattle Farmers,152,Livestock Farmers,15,Farmers and Farm Managers,1,Managers
152231,Dairy Cattle Farmer,1522,Dairy Cattle Farmers,152,Livestock Farmers,15,Farmers and Farm Managers,1,Managers
152331,Mixed Cattle and Sheep Farmer,1523,Mixed Cattle and Sheep Farmers,152,Livestock Farmers,15,Farmers and Farm Managers,1,Managers
152431,Sheep Farmer,1524,Sheep Farmers,152,Livestock Farmers,15,Farmers and Farm Managers,1,Managers
152931,Apiarist,1529,Other Livestock Farmers,152,Livestock Farmers,15,Farmers and Farm Managers,1,Managers
152932,Goat Farmer,1529,Other Livestock Farmers,152,Livestock Farmers,15,Farmers and Farm Managers,1,Managers
152933,Horse Breeder,1529,Other Livestock Farmers,152,Livestock Farmers,15,Farmers and Farm Managers,1,Managers
152934,Pig Farmer,1529,Other Livestock Farmers,152,Livestock Farmers,15,Farmers and Farm Managers,1,Managers
152935,Poultry Farmer,1529,Other Livestock Farmers,152,Livestock Farmers,15,Farmers and Farm Managers,1,Managers
152999,Livestock Farmers nec,1529,Other Livestock Farmers,152,Livestock Farmers,15,Farmers and Farm Managers,1,Managers
161131,Accommodation Service Manager,1611,Accommodation Service Managers,161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161231,Cafe or Restaurant Manager,1612,"Cafe, Restaurant and Catering Managers",161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161232,Catering Manager,1612,"Cafe, Restaurant and Catering Managers",161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161331,Amusement Centre Manager,1613,"Entertainment, Fitness and Sports Venue Managers",161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161332,Betting Agency Manager,1613,"Entertainment, Fitness and Sports Venue Managers",161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161333,Cinema or Theatre Manager,1613,"Entertainment, Fitness and Sports Venue Managers",161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161334,Fitness Centre Manager,1613,"Entertainment, Fitness and Sports Venue Managers",161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161335,Sports Centre Manager,1613,"Entertainment, Fitness and Sports Venue Managers",161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161399,"Entertainment, Fitness and Sports Venue Managers nec",1613,"Entertainment, Fitness and Sports Venue Managers",161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161431,Hotel or Motel Manager,1614,Hotel and Motel Managers,161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161531,Licensed Club Manager,1615,Licensed Club Managers,161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161631,Senior Chef,1616,Senior Chefs,161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161931,Caravan Park and Camping Ground Manager,1619,"Other Hospitality, Tourism and Venue Managers",161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161932,Hosted Accommodation Operator,1619,"Other Hospitality, Tourism and Venue Managers",161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161933,Travel Agency Manager,1619,"Other Hospitality, Tourism and Venue Managers",161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
161999,"Hospitality, Tourism and Venue Managers nec",1619,"Other Hospitality, Tourism and Venue Managers",161,"Hospitality, Tourism and Venue Managers",16,Hospitality and Retail Managers,1,Managers
162131,Retail Manager (General),1621,Retail Managers,162,Retail Managers,16,Hospitality and Retail Managers,1,Managers
162132,Antique Dealer,1621,Retail Managers,162,Retail Managers,16,Hospitality and Retail Managers,1,Managers
162133,Post Office Manager,1621,Retail Managers,162,Retail Managers,16,Hospitality and Retail Managers,1,Managers
171131,Financial Institution Manager,1711,Financial Institution Managers,171,Office Administration and Practice Managers,17,Office Administration and Service Managers,1,Managers
171231,Office Manager,1712,Office and Payroll Managers,171,Office Administration and Practice Managers,17,Office Administration and Service Managers,1,Managers
171232,Payroll Manager,1712,Office and Payroll Managers,171,Office Administration and Practice Managers,17,Office Administration and Service Managers,1,Managers
171331,Health Practice Manager,1713,Practice Managers,171,Office Administration and Practice Managers,17,Office Administration and Service Managers,1,Managers
171332,Legal Practice Manager,1713,Practice Managers,171,Office Administration and Practice Managers,17,Office Administration and Service Managers,1,Managers
171333,Veterinary Practice Manager,1713,Practice Managers,171,Office Administration and Practice Managers,17,Office Administration and Service Managers,1,Managers
171399,Practice Managers nec,1713,Practice Managers,171,Office Administration and Practice Managers,17,Office Administration and Service Managers,1,Managers
171431,Real Estate Agency Principal,1714,Real Estate Agency Principals,171,Office Administration and Practice Managers,17,Office Administration and Service Managers,1,Managers
172131,Call or Contact Centre Manager,1721,Call Centre and Customer Service Managers,172,Service Managers,17,Office Administration and Service Managers,1,Managers
172132,Customer Service Manager,1721,Call Centre and Customer Service Managers,172,Service Managers,17,Office Administration and Service Managers,1,Managers
172231,Event Manager,1722,Event Managers,172,Service Managers,17,Office Administration and Service Managers,1,Managers
172331,Facilities Manager,1723,Facilities Managers,172,Service Managers,17,Office Administration and Service Managers,1,Managers
172431,Hair or Beauty Salon Manager,1724,"Hair, Body and Beauty Service Managers",172,Service Managers,17,Office Administration and Service Managers,1,Managers
172499,"Hair, Body and Beauty Service Managers nec",1724,"Hair, Body and Beauty Service Managers",172,Service Managers,17,Office Administration and Service Managers,1,Managers
172531,Fleet Manager,1725,Transport Service Managers,172,Service Managers,17,Office Administration and Service Managers,1,Managers
172532,Railway Station Manager,1725,Transport Service Managers,172,Service Managers,17,Office Administration and Service Managers,1,Managers
172533,Transport Company Manager,1725,Transport Service Managers,172,Service Managers,17,Office Administration and Service Managers,1,Managers
172931,Boarding Kennel or Cattery Operator,1729,Other Service Managers,172,Service Managers,17,Office Administration and Service Managers,1,Managers
