segment,description,new_name,segment_name
1,"This segment represents affluent, highly-educated professionals in established family households, distinguished by exceptionally high incomes, large homes with substantial mortgages, and universal Year 12 completion across all age groups. They're notable for providing unpaid care to elderly relatives while maintaining professional careers, attending private schools, and having strong representation in health-related fields and Jewish communities.","1 High education and income, focus on health","High education and income, focus on health"
2,"This segment comprises established, educated couples aged 35-74 in registered marriages, typically with two children, earning high incomes ($3,000+ weekly). They're distinguished by substantial mortgage repayments ($3,000-5,000+ monthly), high Year 12 and postgraduate qualification completion rates, and notably higher male participation in domestic work compared to average Australians.",2 High income mature Anglo families,High income mature Anglo families
3,"This affluent segment is distinguished by high incomes, large mortgages ($5000+/month), and substantial properties (5-6 bedrooms), with strong representation of Jewish faith, European/South African ancestry, and managerial/professional occupations. They're notably healthy and active in their 70s-80s, highly educated (bachelor's degrees+), and include both established empty-nesters and families with university-attending children in private schools.",3 Wealthy lifestylers and entrepreneurs,Wealthy lifestylers and entrepreneurs
4,"This segment comprises established, middle-aged families (45-54 years) in stable registered marriages with higher household incomes ($3,000-$4,000+ weekly) and moderate mortgage repayments. They're distinguished by having two children, often teenagers attending secondary school, living in family homes with multiple vehicles, and showing higher rates of military service connections than average Australians.",4 Comfortable family Anglo-european professionals,Comfortable family Anglo-european professionals
5,"This segment comprises older, established families (predominantly 45-74 years) in stable registered marriages with typically two grown children who have transitioned to students or independence. They're notably residentially stable, living in larger separate houses with higher incomes and mortgage repayments than average, reflecting accumulated wealth and spacious family homes retained as children mature.",5 Comfortable grown up families in separate houses,Comfortable grown up families in separate houses
6,"This segment represents young to middle-aged families with school-age children living in outer suburban areas, distinguished by a strong presence of English-speaking migrants from New Zealand, South Africa, and the UK who arrived in the 2000s-2010s. They're notably family-focused with high rates of childcare provision, living in mortgaged 3-4 bedroom houses with moderate-to-good household incomes ($2,500-$4,000 weekly).",6 Second generation fringe lifestyle,Second generation fringe lifestyle
7,"This segment comprises culturally diverse families with parents aged 25-44 who migrated to Australia in the 2000s, primarily from South Asia, Middle East, and Pacific nations. They're establishing middle-income households in medium-density housing (townhouses, apartments) with moderate mortgages, working in clerical roles while raising young children aged 5-14.",7 Millenium migrants starting families,Millenium migrants starting families
8,"This segment comprises affluent, highly-educated professionals in their 25-44 years, predominantly childless or with smaller families, living in apartments or townhouses in inner-urban areas. They're distinguished by high incomes ($2,000+ weekly), European/American ancestry, working from home, and pursuing creative/professional careers, with notably secular beliefs and delayed or foregone parenthood compared to typical Australians.",8 Higher income early career lifestylers,Higher income early career lifestylers
9,"This segment comprises predominantly Chinese-heritage households (from China, Hong Kong, Taiwan, Malaysia, Singapore) characterized by affluent, established families living in larger homes with high mortgages and rents. They're distinguished by smaller family sizes (one-two children), high educational attainment, professional employment in finance and wholesale trade, and a mix of older empty-nesters and younger married couples, with varying English proficiency among recent arrivals.",9 Chinese enclaves,Chinese enclaves
10,"This segment is distinctively characterized by Middle Eastern heritage, particularly Iranian and Lebanese ancestry, with parents predominantly born overseas. They show significantly higher affiliation with non-Christian religious groups compared to the broader Australian population, reflecting recent migration patterns and strong cultural identity maintenance among young families establishing themselves in Australia.",10 Middle eastern young families,Middle eastern young families
11,"This segment represents established, settled families with Southern and Eastern European heritage (Greek, Italian, Croatian), characterized by older children who have left home or are in higher education. They show strong residential stability, work in clerical/administrative and wholesale trade roles, maintain Catholic and Orthodox religious ties, and live in modest mortgaged townhouses—reflecting middle-income, multi-generational immigrant communities.","11 Established family middle Australia, 2nd/3rd generation","Established family middle Australia, 2nd/3rd generation"
12,"This segment represents established, blue-collar families in outer suburban areas, characterized by trades workers and construction industry employment living in mortgaged separate houses. They're notably stable and rooted, with low mobility rates, multiple vehicles per household, and vocational qualifications rather than university degrees, reflecting a practical, affordable homeownership-focused lifestyle distinct from inner-city renters or highly educated professionals.","12 Urban fringe anglo tradies, affordable lifestyle","Urban fringe anglo tradies, affordable lifestyle"
13,"This segment comprises young families with children under 15, often recent movers (within 5 years) living in newer suburban separate houses with moderate mortgages or renting. They have middle-range household incomes, are culturally diverse (including recent migrants and various religious backgrounds), and are heavily engaged in childcare, representing an aspirational family life stage in affordable outer-suburban developments.",13 New affordable estates,New affordable estates
14,"This segment distinctively over-represents Australian Defence Force personnel (active and veteran) across multiple age groups, along with young de facto couples in their 20s-30s. They show elevated New Zealand/Māori ancestry and are more likely to rent separate houses through real estate agents, suggesting mobile, service-connected families in transitional housing situations rather than typical gentrifying homeowners.",14 Gentrifying families in townhouse infill development ,Gentrifying families in townhouse infill development 
15,"This segment comprises recently-arrived Indian families (2005-2016) in their 30s-40s with young children, earning middle-to-upper incomes ($1,000-$1,749 weekly). Unlike the broader Australian population, they're predominantly Hindu or Sikh, married younger, typically have one child, live in apartments or townhouses with mortgages ($1,800-$2,999 monthly), and commute by train to professional jobs.",15 Young Indian families,Young Indian families
16,"This segment comprises highly educated, internationally mobile young professionals living in high-rise apartments, predominantly recent migrants or frequent movers who are childless by choice. They're concentrated in inner-city areas, use public transport, work in professional services, and rent through real estate agents, distinguishing them from Australia's typically suburban, family-oriented, car-dependent population.",16 High rise rental,High rise rental
17,"This segment is distinguished by high concentrations of South East Asian immigrants (particularly from the Philippines, Malaysia, Singapore, and Bangladesh) living in modest circumstances. They typically reside in two-bedroom apartments and are more likely to use multiple transport methods for work commutes, suggesting working-class employment patterns in traditional industrial or service sectors.",17 South East Asia in traditional working class areas,South East Asia in traditional working class areas
18,"This segment is dominated by young adults aged 20-34 enrolled in tertiary education, living in shared households or apartments, and significantly more likely to be childless across all age groups. They're highly mobile (recently moved addresses), secular, well-educated, and favor urban living with public transport or cycling. Unlike typical Australians, they defer traditional family formation, live in rental apartments rather than family homes, and include recent international arrivals with strong English proficiency.",18 Uni and TAFE students,Uni and TAFE students
19,"This segment is distinctive for having significantly higher rates of children (0-14 years) with multiple chronic health conditions compared to the Australian average. The concentration of pediatric complex health needs in these traditionally working-class suburban areas suggests potential socioeconomic health disparities, possibly reflecting limited access to preventative healthcare or environmental factors affecting child health outcomes.",19 Suburban traditional anglo young families in historically working class areas,Suburban traditional anglo young families in historically working class areas
20,"This segment distinctively comprises older Australians (75-84 years) actively providing unpaid care to others despite their age, suggesting a working-class demographic managing caregiving responsibilities. The New Zealand heritage connection indicates specific migration patterns, while their suburban property ownership combined with ""battler"" status suggests modest financial circumstances despite asset ownership.",20 Property owning aging battlers in suburbia,Property owning aging battlers in suburbia
21,"This segment is distinctly urban, childless, and culturally diverse, with high rates of de facto partnerships, group households, and apartment living. They're significantly more likely to be recent migrants from Western countries, work in creative/arts industries, hold secular beliefs, and commute by bicycle or walking. Compared to average Australians, they're less traditional in family structure, more mobile, and concentrated in inner-city areas.",21 Creative workers,Creative workers
22,"This segment comprises recent migrants, predominantly from China and other Asian countries, who arrived between 2016-2020 with limited English proficiency. They're typically younger adults (25-44 years) pursuing tertiary education or working in retail/sales, living in rented apartments and using public transport. Distinctively, they have single-child families, high postgraduate qualifications, and maintain strong overseas cultural ties while establishing themselves in urban Australia.",22 Recent chinese arrivals,Recent chinese arrivals
23,"This segment comprises elderly Southern European migrants who arrived before 2005, predominantly from Italy, Greece, and the Balkans. They have lower formal education levels, strong Catholic and Orthodox religious affiliations, and are now in advanced age (75+) with significant care needs, living in empty-nest or single-parent households with adult children nearby providing unpaid assistance.",23 Post war Italian and Greek,Post war Italian and Greek
24,"This segment comprises older, established households with strong British and European heritage, notably over-representing English, Scottish, and Welsh ancestry. They show higher rates of military service, diploma-level qualifications, and secular beliefs compared to average Australians. Their part-time employment patterns and educational attainment suggest comfortable, semi-retired lifestyles in suburban fringe areas.",24 Empty nesters in fringe and capital city regions,Empty nesters in fringe and capital city regions
25,"This segment is distinctly characterized by residents living in semi-detached, row, or terrace houses across various tenure types (owned with mortgage, owned outright, and rented). The population skews older with divorced individuals aged 65-74, Italian-born residents, and elderly parents (85+), suggesting established inner-urban neighborhoods with aging demographics and modest housing density rather than typical Australian detached homes.",25 Early career admin workers and pensioners,Early career admin workers and pensioners
26,"This segment comprises recent migrants and established refugee communities from the Middle East, South Asia, and Southeast Asia, with limited English proficiency and lower educational attainment than average Australia. They work predominantly in transport, warehousing, and manual labor roles, often have larger families, and include both young workers in vocational training and older residents requiring care assistance.",26 Multicultural lower skilled workers,Multicultural lower skilled workers
27,"This segment represents established migrant communities from Southern Europe, the Middle East, and Southeast Asia who settled in traditional industrial areas. These households are characterized by larger, multi-generational families, lower educational attainment, employment in manufacturing/transport/retail sectors, and higher rates of disability assistance needs among older residents, reflecting aging post-war migrant populations.",27 Old manufacturing heartland,Old manufacturing heartland
28,"This segment comprises Vietnamese-Australian communities with limited English proficiency across multiple arrival cohorts, characterized by Buddhist faith and manufacturing/labor employment. They show distinctive family structures including older lone parents and larger families, with lower educational attainment and household incomes than the Australian average.",28 Vietnamese enclaves,Vietnamese enclaves
29,"This segment is distinctly characterized by Pacific Islander heritage (particularly Samoan and Māori), larger family sizes with younger parents, and higher rates of single-parent households. They face significant health challenges across all age groups and have modest working-class incomes, often in manufacturing or trades, with many renting in suburban three-bedroom homes.",29 Working class pacific island families in old 'new estates',Working class pacific island families in old 'new estates'
30,"This segment represents working-class Pacific Islander families facing significant health and economic challenges, with notably higher rates of disability across all ages, multiple chronic conditions, and youth unemployment. They differ from typical Australians through larger family sizes, lower-middle incomes ($1,250-$1,999 weekly), and concentration in retail/service jobs with vocational qualifications.",30 Pacific Islander community in older australian community,Pacific Islander community in older australian community
31,"Despite its name suggesting youth, this segment is distinctly characterized by older, divorced or separated individuals living alone in semi-detached rentals or social housing. It over-indexes heavily for lone persons aged 45-85+, single parents, and people with health conditions like dementia, indicating financial hardship and social isolation among older Australians rather than typical young renters.",31 Lower amenity young renters,Lower amenity young renters
32,"This segment is characterized by significant socioeconomic disadvantage, with high concentrations of single-parent families, low household incomes, unemployment, and state housing tenancy. Residents experience substantially elevated rates of multiple long-term health conditions and disability across all age groups, alongside higher Indigenous representation and early parenthood with larger families than the Australian average.",32 Public housing,Public housing
33,"This segment is distinctly Australian-born and English-speaking, with a strong trades and technical workforce concentrated in construction and utilities. Residents have larger families (typically three children), lower educational attainment (Year 10 or Certificate III/IV), and higher rates of Defence Force service compared to the national average.",33 Anglo blue collar regional towns and fringe suburbs,Anglo blue collar regional towns and fringe suburbs
34,"This segment represents established regional Australian families with older parents (45-74 years) raising or having raised three children, living in separate houses they likely own. They're distinctively Australian-born citizens speaking only English, with moderate part-time employment and significant unpaid domestic work, particularly among males—contrasting sharply with urban, younger, or more culturally diverse populations.","34 Regional lifestyle high school families, older parents","Regional lifestyle high school families, older parents"
35,"This segment comprises older Australians (65+) living in regional areas, predominantly retired or semi-retired couples in owned homes. They significantly over-index for military service, unpaid care work, and age-related health conditions compared to the broader population. Their alternative lifestyle choice of regional living, combined with higher education levels and modest incomes, distinguishes them from typical urban retirees.","35 Regional outskirts, aging couples and alt lifestylers","Regional outskirts, aging couples and alt lifestylers"
