segment,SA2_NAME21,GCC_NAME21,fraction,new_name
1,Deakin,Australian Capital Territory,0.0034423407917383822,"1 High education and income, focus on health"
1,Red Hill (ACT),Australian Capital Territory,0.0034423407917383822,"1 High education and income, focus on health"
1,Yarralumla,Australian Capital Territory,0.0034423407917383822,"1 High education and income, focus on health"
1,Garran,Australian Capital Territory,0.0017211703958691911,"1 High education and income, focus on health"
1,North Adelaide,Greater Adelaide,0.01549053356282272,"1 High education and income, focus on health"
1,Burnside - Wattle Park,Greater Adelaide,0.012048192771084338,"1 High education and income, focus on health"
1,Toorak Gardens,Greater Adelaide,0.012048192771084338,"1 High education and income, focus on health"
1,St Peters - Marden,Greater Adelaide,0.012048192771084338,"1 High education and income, focus on health"
1,Carindale,Greater Brisbane,0.0034423407917383822,"1 High education and income, focus on health"
1,Fig Tree Pocket,Greater Brisbane,0.0034423407917383822,"1 High education and income, focus on health"
1,St Lucia,Greater Brisbane,0.0034423407917383822,"1 High education and income, focus on health"
1,New Farm,Greater Brisbane,0.0034423407917383822,"1 High education and income, focus on health"
1,Nightcliff,Greater Darwin,0.0017211703958691911,"1 High education and income, focus on health"
1,Sandy Bay,Greater Hobart,0.0034423407917383822,"1 High education and income, focus on health"
1,Hobart,Greater Hobart,0.0017211703958691911,"1 High education and income, focus on health"
1,South Hobart - Fern Tree,Greater Hobart,0.0017211703958691911,"1 High education and income, focus on health"
1,Balwyn North,Greater Melbourne,0.01721170395869191,"1 High education and income, focus on health"
1,Kew - South,Greater Melbourne,0.01549053356282272,"1 High education and income, focus on health"
1,Brighton (Vic.),Greater Melbourne,0.01549053356282272,"1 High education and income, focus on health"
1,Caulfield - North,Greater Melbourne,0.013769363166953529,"1 High education and income, focus on health"
1,Nedlands - Dalkeith - Crawley,Greater Perth,0.027538726333907058,"1 High education and income, focus on health"
1,Subiaco - Shenton Park,Greater Perth,0.022375215146299483,"1 High education and income, focus on health"
1,Floreat,Greater Perth,0.012048192771084338,"1 High education and income, focus on health"
1,South Perth - Kensington,Greater Perth,0.012048192771084338,"1 High education and income, focus on health"
1,Lindfield - Roseville,Greater Sydney,0.01721170395869191,"1 High education and income, focus on health"
1,Gordon - Killara,Greater Sydney,0.01549053356282272,"1 High education and income, focus on health"
1,St Ives,Greater Sydney,0.01549053356282272,"1 High education and income, focus on health"
1,Bellevue Hill,Greater Sydney,0.012048192771084338,"1 High education and income, focus on health"
1,Merewether - The Junction,Rest of NSW,0.012048192771084338,"1 High education and income, focus on health"
1,Lambton - New Lambton,Rest of NSW,0.0051635111876075735,"1 High education and income, focus on health"
1,Newcastle - Cooks Hill,Rest of NSW,0.0051635111876075735,"1 High education and income, focus on health"
1,Coffs Harbour - South,Rest of NSW,0.0017211703958691911,"1 High education and income, focus on health"
1,East Side,Rest of NT,0.0017211703958691911,"1 High education and income, focus on health"
1,Nhulunbuy,Rest of NT,0.0017211703958691911,"1 High education and income, focus on health"
1,Toowoomba - East,Rest of Qld,0.0068846815834767644,"1 High education and income, focus on health"
1,Whitfield - Edge Hill,Rest of Qld,0.0051635111876075735,"1 High education and income, focus on health"
1,Annandale (Qld),Rest of Qld,0.0051635111876075735,"1 High education and income, focus on health"
1,The Range - Allenstown,Rest of Qld,0.0034423407917383822,"1 High education and income, focus on health"
1,Goolwa - Port Elliot,Rest of SA,0.0017211703958691911,"1 High education and income, focus on health"
1,Murray Bridge,Rest of SA,0.0017211703958691911,"1 High education and income, focus on health"
1,Launceston,Rest of Tas.,0.0034423407917383822,"1 High education and income, focus on health"
1,Riverside,Rest of Tas.,0.0017211703958691911,"1 High education and income, focus on health"
1,Parklands - Camdale,Rest of Tas.,0.0017211703958691911,"1 High education and income, focus on health"
1,Ballarat,Rest of Vic.,0.0068846815834767644,"1 High education and income, focus on health"
1,Bendigo,Rest of Vic.,0.0051635111876075735,"1 High education and income, focus on health"
1,Geelong,Rest of Vic.,0.0051635111876075735,"1 High education and income, focus on health"
1,Highton,Rest of Vic.,0.0034423407917383822,"1 High education and income, focus on health"
1,Dalyellup,Rest of WA,0.0017211703958691911,"1 High education and income, focus on health"
1,Broome,Rest of WA,0.0017211703958691911,"1 High education and income, focus on health"
1,Ashburton (WA),Rest of WA,0.0017211703958691911,"1 High education and income, focus on health"
2,Nicholls,Australian Capital Territory,0.003676470588235294,2 High income mature Anglo families
2,Ainslie,Australian Capital Territory,0.0024509803921568627,2 High income mature Anglo families
2,O'Connor (ACT),Australian Capital Territory,0.0024509803921568627,2 High income mature Anglo families
2,Deakin,Australian Capital Territory,0.0024509803921568627,2 High income mature Anglo families
2,Mitcham (SA),Greater Adelaide,0.011029411764705883,2 High income mature Anglo families
2,Aldgate - Stirling,Greater Adelaide,0.007352941176470588,2 High income mature Anglo families
2,Burnside - Wattle Park,Greater Adelaide,0.007352941176470588,2 High income mature Anglo families
2,Unley - Parkside,Greater Adelaide,0.007352941176470588,2 High income mature Anglo families
2,Carindale,Greater Brisbane,0.00980392156862745,2 High income mature Anglo families
2,The Gap,Greater Brisbane,0.007352941176470588,2 High income mature Anglo families
2,Brookfield - Kenmore Hills,Greater Brisbane,0.004901960784313725,2 High income mature Anglo families
2,Ashgrove,Greater Brisbane,0.004901960784313725,2 High income mature Anglo families
2,Sandy Bay,Greater Hobart,0.0024509803921568627,2 High income mature Anglo families
2,Taroona - Bonnet Hill,Greater Hobart,0.0012254901960784314,2 High income mature Anglo families
2,West Hobart,Greater Hobart,0.0012254901960784314,2 High income mature Anglo families
2,Mount Eliza,Greater Melbourne,0.01715686274509804,2 High income mature Anglo families
2,Beaumaris,Greater Melbourne,0.013480392156862746,2 High income mature Anglo families
2,Eltham,Greater Melbourne,0.012254901960784314,2 High income mature Anglo families
2,Camberwell,Greater Melbourne,0.011029411764705883,2 High income mature Anglo families
2,Karrinyup - Gwelup - Carine,Greater Perth,0.014705882352941176,2 High income mature Anglo families
2,Melville,Greater Perth,0.00857843137254902,2 High income mature Anglo families
2,Mount Lawley - Inglewood,Greater Perth,0.007352941176470588,2 High income mature Anglo families
2,Wembley - West Leederville - Glendalough,Greater Perth,0.007352941176470588,2 High income mature Anglo families
2,Forestville - Killarney Heights,Greater Sydney,0.014705882352941176,2 High income mature Anglo families
2,Mona Vale - Warriewood (North),Greater Sydney,0.013480392156862746,2 High income mature Anglo families
2,Pennant Hills - Cheltenham,Greater Sydney,0.012254901960784314,2 High income mature Anglo families
2,Pymble,Greater Sydney,0.011029411764705883,2 High income mature Anglo families
2,Thirroul - Austinmer - Coalcliff,Rest of NSW,0.00857843137254902,2 High income mature Anglo families
2,Unanderra - Mount Kembla,Rest of NSW,0.004901960784313725,2 High income mature Anglo families
2,Figtree - Keiraville,Rest of NSW,0.004901960784313725,2 High income mature Anglo families
2,Lambton - New Lambton,Rest of NSW,0.003676470588235294,2 High income mature Anglo families
2,Buderim - North,Rest of Qld,0.004901960784313725,2 High income mature Anglo families
2,Runaway Bay,Rest of Qld,0.0024509803921568627,2 High income mature Anglo families
2,Buderim - South,Rest of Qld,0.0024509803921568627,2 High income mature Anglo families
2,Buddina - Minyama,Rest of Qld,0.0024509803921568627,2 High income mature Anglo families
2,Highton,Rest of Vic.,0.006127450980392157,2 High income mature Anglo families
2,Torquay,Rest of Vic.,0.003676470588235294,2 High income mature Anglo families
2,Newtown (Vic.),Rest of Vic.,0.0024509803921568627,2 High income mature Anglo families
2,Barwon Heads - Armstrong Creek,Rest of Vic.,0.0024509803921568627,2 High income mature Anglo families
2,Busselton Surrounds,Rest of WA,0.0012254901960784314,2 High income mature Anglo families
3,Aldgate - Stirling,Greater Adelaide,0.01488833746898263,3 Wealthy lifestylers and entrepreneurs
3,Burnside - Wattle Park,Greater Adelaide,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,St Peters - Marden,Greater Adelaide,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Unley - Parkside,Greater Adelaide,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Belmont - Gumdale,Greater Brisbane,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Cleveland,Greater Brisbane,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Carindale,Greater Brisbane,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Brookfield - Kenmore Hills,Greater Brisbane,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Brighton (Vic.),Greater Melbourne,0.02977667493796526,3 Wealthy lifestylers and entrepreneurs
3,Caulfield - North,Greater Melbourne,0.017369727047146403,3 Wealthy lifestylers and entrepreneurs
3,Caulfield - South,Greater Melbourne,0.01488833746898263,3 Wealthy lifestylers and entrepreneurs
3,Surrey Hills (West) - Canterbury,Greater Melbourne,0.01240694789081886,3 Wealthy lifestylers and entrepreneurs
3,Subiaco - Shenton Park,Greater Perth,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Wembley - West Leederville - Glendalough,Greater Perth,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Sorrento - Marmion,Greater Perth,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,City Beach,Greater Perth,0.0024813895781637717,3 Wealthy lifestylers and entrepreneurs
3,Balgowlah - Clontarf - Seaforth,Greater Sydney,0.02481389578163772,3 Wealthy lifestylers and entrepreneurs
3,Dural - Kenthurst - Wisemans Ferry,Greater Sydney,0.019851116625310174,3 Wealthy lifestylers and entrepreneurs
3,Bellevue Hill,Greater Sydney,0.019851116625310174,3 Wealthy lifestylers and entrepreneurs
3,Mosman - South,Greater Sydney,0.017369727047146403,3 Wealthy lifestylers and entrepreneurs
3,Bowral,Rest of NSW,0.017369727047146403,3 Wealthy lifestylers and entrepreneurs
3,Lennox Head - Skennars Head,Rest of NSW,0.009925558312655087,3 Wealthy lifestylers and entrepreneurs
3,Brunswick Heads - Ocean Shores,Rest of NSW,0.007444168734491315,3 Wealthy lifestylers and entrepreneurs
3,Thirroul - Austinmer - Coalcliff,Rest of NSW,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Noosaville,Rest of Qld,0.007444168734491315,3 Wealthy lifestylers and entrepreneurs
3,Runaway Bay,Rest of Qld,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Tamborine - Canungra,Rest of Qld,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Main Beach,Rest of Qld,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Jamestown,Rest of SA,0.0024813895781637717,3 Wealthy lifestylers and entrepreneurs
3,Goolwa - Port Elliot,Rest of SA,0.0024813895781637717,3 Wealthy lifestylers and entrepreneurs
3,Loxton,Rest of SA,0.0024813895781637717,3 Wealthy lifestylers and entrepreneurs
3,Grindelwald - Lanena,Rest of Tas.,0.0024813895781637717,3 Wealthy lifestylers and entrepreneurs
3,Daylesford,Rest of Vic.,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Castlemaine,Rest of Vic.,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Newtown (Vic.),Rest of Vic.,0.004962779156327543,3 Wealthy lifestylers and entrepreneurs
3,Castlemaine Surrounds,Rest of Vic.,0.0024813895781637717,3 Wealthy lifestylers and entrepreneurs
3,Busselton Surrounds,Rest of WA,0.0024813895781637717,3 Wealthy lifestylers and entrepreneurs
3,Busselton - East,Rest of WA,0.0024813895781637717,3 Wealthy lifestylers and entrepreneurs
4,Calwell,Australian Capital Territory,0.006211180124223602,4 Comfortable family Anglo-european professionals
4,Conder,Australian Capital Territory,0.006211180124223602,4 Comfortable family Anglo-european professionals
