lga,vector
Adelaide,"[0.0, 0.0, 0.0, 0.2251589447259903, 0.0, 0.0, 0.0, 0.0, 0.013715062290430069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17161822319030762, 0.0, 0.0, 0.01103602722287178, 0.0, 0.0704946219921112, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026950297877192497, 0.0, 0.0, 0.13351193070411682, 0.1427885890007019, 0.0, 0.0, 0.0, 0.00939661730080843, 0.0, 0.1953296810388565, 0.0, 0.0, 0.0, 0.0, 0.0]"
Adelaide Hills,"[0.00907873921096325, 0.03994158282876015, 0.0, 0.01163441687822342, 0.037337228655815125, 0.0, 0.006377023179084063, 0.09872215986251831, 0.0, 0.0, 0.0, 0.0, 0.10079104453325272, 0.0, 0.08908360451459885, 0.06362419575452805, 0.0, 0.0, 0.0, 0.0, 0.0656687319278717, 0.0006328343879431486, 0.1095777079463005, 0.0, 0.10877449065446854, 0.0, 0.014993306249380112, 0.0, 0.0, 0.0, 0.009419496171176434, 0.00927345734089613, 0.022100523114204407, 0.0, 0.02073749527335167, 0.07131556421518326, 0.008884021081030369, 0.07710843533277512, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024923937395215034]"
Adelaide Plains,"[0.0, 0.0, 0.0, 0.0, 0.1129392683506012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15275238454341888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04021937772631645, 0.27280113101005554, 0.0, 0.0555555559694767, 0.021328458562493324, 0.037781842052936554, 0.0, 0.20201097428798676, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05200081318616867, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05261019617319107]"
Albany,"[0.10138831287622452, 0.10814926028251648, 0.13196738064289093, 0.0, 0.008257638663053513, 0.008464079350233078, 0.007018992677330971, 0.015973368659615517, 0.019328035414218903, 0.03171449154615402, 0.0, 0.0004644921573344618, 0.08113129436969757, 0.010941370390355587, 0.0, 0.0, 0.0, 0.0, 0.03434661403298378, 0.017779728397727013, 0.09176300466060638, 0.004515896085649729, 0.012283236719667912, 0.0, 0.0, 0.021882740780711174, 0.0, 0.14543765783309937, 0.020257018506526947, 0.0054706851951777935, 0.02368910051882267, 0.008102807216346264, 0.0, 0.0, 0.013289636932313442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02327621728181839, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05310693755745888]"
Albury,"[0.0179838165640831, 0.0366627462208271, 0.059423234313726425, 0.004045912995934486, 0.0, 0.0, 0.008644351735711098, 0.0, 0.020479092374444008, 0.0, 0.0, 0.0010337575804442167, 0.06519801914691925, 0.06051046401262283, 0.0, 0.07480483502149582, 0.0, 0.0, 0.07640893757343292, 0.0, 0.0, 0.0, 0.011460449546575546, 0.0, 0.015702420845627785, 0.04486151039600372, 0.0, 0.17573878169059753, 0.009018642827868462, 0.0, 0.13041386008262634, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01119309850037098, 0.0, 0.14297935366630554, 0.03343670815229416, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Alexandrina,"[0.12159816920757294, 0.08344904333353043, 0.1807136833667755, 0.027284087613224983, 0.01256595365703106, 0.008226881735026836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0003124132053926587, 0.05057622864842415, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02749236300587654, 0.0016314912354573607, 0.017425715923309326, 0.0, 0.0, 0.0, 0.042904749512672424, 0.014787559397518635, 0.025027770549058914, 0.0, 0.07119549810886383, 0.07268813997507095, 0.05817828327417374, 0.0, 0.11212163418531418, 0.0063524022698402405, 0.0, 0.01367675606161356, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05179116874933243]"
Alice Springs,"[0.0, 0.0130025465041399, 0.009105640463531017, 0.0, 0.0, 0.0, 0.04525812342762947, 0.0, 0.03264140710234642, 0.0, 0.08515317738056183, 0.0028937417082488537, 0.013735627755522728, 0.38590940833091736, 0.014160043559968472, 0.0, 0.0, 0.01628212071955204, 0.08484450727701187, 0.0, 0.0, 0.003935488872230053, 0.0, 0.015433290041983128, 0.0, 0.037348560988903046, 0.0, 0.0, 0.02268693596124649, 0.0, 0.0, 0.0, 0.0, 0.06786789000034332, 0.0, 0.0, 0.007755227852612734, 0.040666718035936356, 0.0, 0.08526892215013504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01605062186717987, 0.0, 0.0, 0.0, 0.0]"
Alpine,"[0.17331288754940033, 0.2231229841709137, 0.1952965259552002, 0.057040609419345856, 0.0, 0.014826175756752491, 0.0, 0.0, 0.0, 0.02585451304912567, 0.0, 0.0027023078873753548, 0.026438796892762184, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07668711990118027, 0.0, 0.0, 0.027826467528939247, 0.08567046374082565, 0.0, 0.0, 0.0, 0.0912211537361145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Anangu Pitjantjatjara Yunkunytjatjara,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015839040279388428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9841609597206116, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Ararat,"[0.06993396580219269, 0.2459225058555603, 0.05099848657846451, 0.0, 0.03206301108002663, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024425173178315163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1944466531276703, 0.12674039602279663, 0.02148142270743847, 0.14774444699287415, 0.0, 0.0, 0.0, 0.050202880054712296, 0.036041054874658585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
